Title,Location,Company,Summary
[데이터센터] (경력/신입) 카카오 데이터센터 Data Scientist...,성남 판교역,카카오,"않고, 기술이 비즈니스 가치로 변모할 수 있는 그 가능성에 집중합니다. 지원자격 필수사항 Go, Python, Scala, Java, C/C++ 중 하나 이상의 언어에 능숙하신 분 SQL 또는 HiveQL에 능숙하신..."
"딥러닝, 머신러닝 외 경력 정규직",경기도 군포,㈜AI4Blockchain,Android|인터넷·IT·통신·모바일·게임>응용프로그래머>iOS|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>Windows|인터넷·IT·통신·모바일·게임>소프트웨어...
"NAVER, LINE 서비스 플랫폼 운영",성남 삼평동,NIT Service,"유하신 분 - 프로그래밍 언어( python, java, c언어 등) 초급... System, WEB/WAS, DB운영 경험 - 프로그래밍 언어( python, java, c언어 등) 중급 이상 - 국가보훈대상자 및 장애인은..."
"[주식회사 쏘마] 백엔드, 프론트엔드 외 신입/경력 정규직",성남 분당구,쏘마,"있으신 분 한 가지 이상의 프로그래밍 언어에 대한 이해(C/C++, Python, Powershell 등)가 있으신 분 악성코드 분석 및 침해사고... 서적을 관심 있게 보시는 분 python 뿐만 아니라 다른 프레임워크에..."
정보전략 담당자 모집,서울 구로구,넷마블,분 - 시스템 개발 또는 IT PM/PL 경력 3년 이상 보유하신 분 - Spring(혹은 .NET)과 Python 프로그래밍 능력을 보유하신 분 - 전략적 사고 역량을 보유하신 분 우대사항 - 관련분야 석/박사 학위 소유자...
IoT 전문가 양성 과정 훈련생,서울 금천구,한국산업기술협회,게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임... 응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|전자·기계·기술...
데이터 엔지니어,서울,RIDI Corp,"에서의 데이터 파이프라인 구축 및 운영 경험 GA, Tableau 등 외부 분석/시각화 도구에 대한 지식 Python, Java, Scala 중 하나 이상을 이용한 개발 경험 추가 정보 지원 서류 안내 제출서류 : 이력..."
"[해외취업] 힙합의류 쇼핑몰, 웹 개발자 - 째끼롸웃 new",서울 역삼동,아이씨엔그룹,"그 외 자격요건 1. Must be proficient in HTML, CSS, JavaScript and Python 2. Working knowledge of Databases. 3. Should have working..."
금융 AI 기술 연구 개발자 모집,성남 판교역,엔씨소프트,"및 연구/문제 해결 능력 - Python 언어에 능숙하신 분 2. 해당직... Recognition, Data/Text Mining 경험 보유 - Python, SQL 활용 우대사항 - AI 관련 전공자 - 금융 도메인에 대한..."
기술 지원 엔지니어 - 주말전사,서울특별시,Dataiku,"이지로 이동 합니다. 직무/산업 직무별(직종) 기술영업(IT.솔루션)기술지원 웹프로그래머웹프로그래머 인공지능(AI).빅데이터R, Python 기계.자동차.조선.철강엔지니어 산업별(업종) 솔루션.ASP.소프트웨어 소프트웨어개발"
